city,date_create,timestamp,rank,advertised,hotel_name,hotel_source,ad_headline,ad_source,price,rating_stars,rating_reviews,total_hotels,alt1,alt2,alt3,alt4,alt_rest
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),1,true,,,London Hotel Express Deals℠ No Bidding,Priceline.com,$66,,,2477,,,,,
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),2,false,The May Fair,KAYAK,,,$341,5,Excellent,2477,Radisson,Getaroom,Expedia,Hotels.com,13 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),3,false,Radisson Blu Edwardian Hampshire,Amoma,,,$268,5,Excellent,2477,KAYAK,Radissonblu-edwardian,Orbitz,Cheaptickets,11 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),4,false,London Hilton on Park Lane,Amoma,,,$368,5,Excellent,2477,KAYAK,Hotels.com,Travelocity,Venere,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),5,false,Radisson Blu Edwardian Bloomsbury Street,Amoma,,,$228,4,Excellent,2477,KAYAK,Radissonblu-edwardian,Orbitz,Cheaptickets,12 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),6,false,The Montcalm London,Expedia,,,$239,5,Excellent,2477,Travelocity,Booking.com,Priceline,Agoda,10 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),7,true,,,Save up to 60% on London Hotels,Hotwire.com,$51,,,2477,,,,,
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),8,false,Grosvenor House  A JW Marriott Hotel,Amoma,,,$343,5,Excellent,2477,Easyclicktravel,KAYAK,Expedia,Hotels.com,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),9,false,The Langham London,KAYAK,,,$319,5,Excellent,2477,Getaroom,Orbitz,Cheaptickets,Agoda,10 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),10,false,The Rembrandt,Orbitz,,,$238,4,Excellent,2477,Cheaptickets,KAYAK,Travelocity,Expedia,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),11,false,Plaza on the River London,Hotels.com,,,$262,4,Excellent,2477,KAYAK,Travelocity,Expedia,Venere,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),12,false,Park Plaza Victoria London,Travelocity,,,$220,4,Excellent,2477,Expedia,Hotels.com,Venere,KAYAK,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),13,false,Hotel Russell,Travelocity,,,$143,4,Good,2477,KAYAK,Expedia,Hotels.com,Venere,5 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),14,true,,,Un-Booking-Believable Hotel Deals in London,Booking.com,$56,,,2477,,,,,
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),15,false,InterContinental London Park Lane,KAYAK,,,$460,5,Excellent,2477,Travelocity,Venere,Expedia,Hotels.com,9 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),16,false,Park Lane Mews Hotel,Travelocity,,,$165,4,Good,2477,KAYAK,Expedia,Hotels.com,Venere,4 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),17,false,The Marylebone Hotel,Amoma,,,$243,4,Excellent,2477,Easyclicktravel,Orbitz,Cheaptickets,KAYAK,13 more sites 
London England United-Kingdom-,2014-4-11,Fri Apr 11 2014 12:05:00 GMT-0400 (EDT),18,false,Park Plaza County Hall London,Orbitz,,,$224,4,Excellent,2477,Cheaptickets,Hotelclub,KAYAK,Booking.com,8 more sites 
